,problemId,titleKo,isSolvable,isPartial,acceptedUserCount,level,votedUserCount,sprout,givesNoRating,isLevelLocked,averageTries,official,tag
11788,12950.0,팰린드롬 보행,True,False,97.0,16.0,15.0,False,False,False,2.2165,True,"dp,graphs,graph_traversal,"
11789,12951.0,경기 결과,True,False,14.0,17.0,1.0,False,False,False,1.5,True,
11790,12952.0,숫자 자물쇠,True,False,6.0,0.0,0.0,False,False,False,1.0,True,
11791,12953.0,숫자 자물쇠 2,True,False,3.0,0.0,0.0,False,False,False,3.6667,True,
11792,12954.0,비트 문자열 뒤집기,True,False,4.0,0.0,0.0,False,False,False,1.0,True,
11793,12955.0,팰린드롬 부분 문자열,True,False,14.0,17.0,4.0,False,False,False,1.5,True,"bruteforcing,combinatorics,graphs,graph_traversal,inclusion_and_exclusion,math,recursion,"
11794,12956.0,퍼레이드,True,False,36.0,13.0,1.0,False,False,False,2.0833,True,"floyd_warshall,graphs,"
11795,12957.0,보행의 개수,True,False,4.0,18.0,1.0,False,False,False,2.0,True,"combinatorics,dp,graphs,math,scc,"
11796,12958.0,단순 사이클의 개수,True,False,8.0,0.0,0.0,False,False,False,1.375,True,
11797,12959.0,방향판,True,False,15.0,20.0,1.0,False,False,False,1.4,True,"flow,hungarian,mcmf,"
11798,12960.0,체스판,True,False,73.0,19.0,8.0,False,False,False,1.9315,True,"bitmask,dp,dp_bitfield,"
11799,12961.0,체스판 2,True,False,66.0,21.0,9.0,False,False,False,1.6667,True,"flow,graphs,"
11800,12962.0,나무 자르기,True,False,5.0,0.0,0.0,False,False,False,1.2,True,
11801,12963.0,달리기,True,False,215.0,18.0,51.0,False,False,False,1.8186,True,"data_structures,disjoint_set,graphs,graph_traversal,greedy,"
11802,12964.0,점수의 합,True,False,1.0,0.0,0.0,False,False,False,1.0,True,
11803,12965.0,빨간 선분 파란 선분,True,False,7.0,21.0,2.0,False,False,False,1.4286,True,"flow,geometry,line_intersection,mfmc,"
11804,12966.0,턴 게임 2,True,False,43.0,13.0,9.0,False,False,False,5.1628,True,"greedy,math,"
11805,12967.0,pqr,True,False,53.0,16.0,14.0,False,False,False,3.1698,True,"math,number_theory,"
11806,12968.0,방문,True,False,116.0,10.0,7.0,False,False,False,2.25,True,"ad_hoc,"
11807,12969.0,ABC,True,False,640.0,15.0,25.0,False,False,False,2.0438,True,"dp,"
11808,12970.0,AB,True,False,845.0,12.0,47.0,False,False,False,2.1763,True,"constructive,greedy,math,"
11809,12971.0,숫자 놀이,True,False,185.0,7.0,27.0,False,False,False,2.2,True,"bruteforcing,crt,math,number_theory,"
11810,12972.0,GCD 테이블,True,False,55.0,15.0,8.0,False,False,False,1.9818,True,"ad_hoc,math,number_theory,"
11811,12973.0,Array GCD,True,False,21.0,17.0,3.0,False,False,False,2.7619,True,"dp,math,number_theory,primality_test,two_pointer,"
11812,12974.0,시간 여행과 Multiset,True,False,22.0,19.0,8.0,False,False,False,2.8182,True,"coordinate_compression,data_structures,offline_queries,segtree,"
11813,12975.0,트라이슬,True,False,32.0,15.0,4.0,False,False,False,2.0313,True,"dp,knapsack,"
11814,12976.0,돌 옮기기,True,False,11.0,0.0,0.0,False,False,False,4.0909,True,
11815,12977.0,원 위의 점,True,False,16.0,15.0,6.0,False,False,False,2.0,True,"calculus,math,probability,"
11816,12978.0,스크루지 민호 2,True,False,136.0,13.0,13.0,False,False,False,2.3088,True,"dp,dp_tree,trees,"
11817,12979.0,종이 접기,True,False,58.0,11.0,5.0,False,False,False,3.069,True,"bruteforcing,math,"
11818,12980.0,좋아하는 수열,True,False,34.0,11.0,4.0,False,False,False,1.4118,True,"bruteforcing,"
11819,12981.0,공 포장하기,True,False,267.0,7.0,24.0,False,False,False,2.5655,True,"case_work,greedy,math,"
11820,12982.0,공 포장하기 2,True,False,76.0,15.0,10.0,False,False,False,2.7237,True,"greedy,sorting,"
11821,12983.0,Set Definition,True,False,40.0,14.0,8.0,False,False,False,2.325,True,"data_structures,dp,graphs,graph_traversal,priority_queue,two_pointer,"
11822,12984.0,문자열의 분할,True,False,5.0,0.0,0.0,False,False,False,4.8,True,
11823,12985.0,비밀 회선,True,False,21.0,15.0,8.0,False,False,False,3.9048,True,"data_structures,segtree,sorting,"
11824,12986.0,화려한 마을2,True,False,200.0,19.0,44.0,False,True,False,1.88,True,"data_structures,mo,offline_queries,segtree,"
11825,12987.0,Matrix Again,True,False,42.0,14.0,6.0,False,False,False,3.1905,True,"exponentiation_by_squaring,math,"
11826,12988.0,주식 차트,True,False,16.0,19.0,4.0,False,False,False,1.25,True,"bipartite_matching,"
11827,12989.0,LCS Again,True,False,11.0,23.0,4.0,False,False,False,1.2727,True,"dp,"
11828,12990.0,A Heap of Heaps,True,False,9.0,20.0,4.0,False,False,False,1.4444,True,"data_structures,merge_sort_tree,segtree,sorting,"
11829,12991.0,홍준이의 행렬,True,False,50.0,13.0,6.0,False,False,False,2.74,True,"binary_search,"
